OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PCT_RENTER_OCC_UNITS,HCV_PUBLIC_PCT,SHAPE_Length,SHAPE_Area
57865,37183054013,37,183,054013,133,"Raleigh-Durham-Cary, NC  ",,,,0.158258773240688,0.00122973211384865
57866,37143920201,37,143,920201,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",48,11.18999958,11.18999958,0.5720547397174,0.0130793048215769
57867,37151031504,37,151,031504,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.175160357766258,0.00116232249604344
57868,37189920500,37,189,920500,10,"Asheville-Brevard, NC  ",,,,0.089284131611118,0.00035954355420643
57869,37001020400,37,001,020400,66,"Greensboro--Winston-Salem--High Point, NC  ",89,9.35000038,9.35000038,0.182596903614362,0.00118389440680003
57870,37001021300,37,001,021300,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.533145986563345,0.0139198204940204
57871,37001021500,37,001,021500,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.493227829183936,0.00939698241223167
57872,37001021201,37,001,021201,66,"Greensboro--Winston-Salem--High Point, NC  ",17,3.02999997,3.02999997,0.368363873478756,0.00373293213299996
57951,37185950102,37,185,950102,133,"Raleigh-Durham-Cary, NC  ",,,,0.404243028021505,0.00904534344818682
57952,37171930802,37,171,930802,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.697168762033311,0.014369537870666
57953,37171931003,37,171,931003,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.549576658749101,0.00836457784935693
57954,37067003701,37,067,003701,66,"Greensboro--Winston-Salem--High Point, NC  ",173,10.25,10.25,0.102786728236094,0.000538482637848995
58449,37081016410,37,081,016410,66,"Greensboro--Winston-Salem--High Point, NC  ",21,3.06999993,3.06999993,0.144424948891652,0.000855996431683637
58450,37081016506,37,081,016506,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.120464826446035,0.000462675005678802
58451,37055970101,37,055,970101,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",,,,0.520684968624103,0.0018273916538088
58452,37059080200,37,059,080200,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.525552481758666,0.00990836465736318
